Parent_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
transcript:ENSDART00000002510	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002545	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002554	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002556	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002568	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002571	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002583	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002595	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002622	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002624	0	0	0	0	1	0	0	0	0	0	1	0
transcript:ENSDART00000002633	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002641	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002661	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002682	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002684	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002691	1	0	1	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002714	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002728	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002741	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002750	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002764	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002767	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002770	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002773	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002778	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002787	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002824	0	0	0	0	1	0	0	0	0	0	0	0
transcript:ENSDART00000002826	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002835	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002851	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002856	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002863	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002866	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002867	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002886	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002908	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002928	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002930	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002932	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002938	0	0	1	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002939	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002945	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002961	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002985	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000002992	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003001	0	1	22	3	5	2	5	1	3	2	10	4
transcript:ENSDART00000003008	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003022	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003035	0	0	0	0	0	0	3	0	9	2	6	3
transcript:ENSDART00000003040	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003042	0	2	12	4	8	4	0	0	0	0	0	0
transcript:ENSDART00000003066	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003076	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003097	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003133	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003164	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003167	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003170	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003192	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003193	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003195	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003210	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003211	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003221	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003242	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003248	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003252	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003273	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003296	0	0	0	0	1	0	0	0	1	0	0	0
transcript:ENSDART00000003299	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003303	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003310	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003314	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003317	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003325	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003335	0	0	0	0	0	0	0	0	0	0	0	0
